No,姓,名,配偶者,子供,〒,都道府県,市区町村,番地・建物,説明
0,佐藤,一郎,花子,蓮,123-4567,東京都,新宿区,西新宿2-8-1 マンション新宿123,No.0 には差出人を記載（表面に印字しない場合は全て空欄）
1,鈴木,次郎,梨花,律,234-5678,神奈川県,横浜市中区,日本大通1 ハイツ港A234,No.1 以降に宛名の住所録を記載
2,高橋,三郎,春花,湊,345-6789,新潟県,新潟市中央区,新光町4-1,
4,田中,四郎,花蓮,樹,456-7890,富山県,富山市,新総曲輪1-7,
5,伊藤,吾郎,柚花,蒼,567-8901,石川県,金沢市,鞍月1-1,
6,渡辺,六郎,花音,陽葵,678-9012,福井県,福井市,大手3-17-1,
7,山本,七郎,花乃,凛,789-0123,山梨県,甲府市,丸の内1-6-1,
8,中村,八郎,萌花,芽依,890-1234,長野県,長野市,大字南長野字幅下692-2,
9,小林,九郎,瑠花,結菜,901-2345,岐阜県,岐阜市,藪田南2-1-1,
10,加藤,十郎,花凛,紬,012-3456,静岡県,静岡市葵区,追手町9-6,十人以上に送りたい場合は No.11 以降に行を追加
